         1394618 function calls (1371888 primitive calls) in 2.190 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.329    0.165    0.329    0.165 {built-in method matplotlib._png.write_png}
    26477    0.114    0.000    0.114    0.000 {method 'split' of 'str' objects}
        1    0.094    0.094    1.759    1.759 plot_gtex_binary.py:58(main)
    22951    0.084    0.000    0.086    0.000 plot_gtex_binary.py:9(binary_search)
    21627    0.061    0.000    0.061    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    47/46    0.058    0.001    0.059    0.001 {built-in method _imp.create_dynamic}
      286    0.056    0.000    0.056    0.000 {built-in method marshal.loads}
    22697    0.047    0.000    0.047    0.000 {built-in method numpy.core.multiarray.array}
      123    0.044    0.000    0.044    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     6216    0.038    0.000    0.038    0.000 {built-in method numpy.core.multiarray.dot}
      369    0.032    0.000    0.032    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      198    0.032    0.000    0.039    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        1    0.029    0.029    2.191    2.191 plot_gtex_binary.py:1(<module>)
    18628    0.029    0.000    0.085    0.000 fromnumeric.py:64(_wrapreduction)
    22953    0.022    0.000    0.024    0.000 plot_gtex_binary.py:34(linear_search)
      576    0.021    0.000    0.054    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
1168/1100    0.020    0.000    0.062    0.000 {built-in method builtins.__build_class__}
      334    0.016    0.000    0.016    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        3    0.016    0.005    0.016    0.005 backend_agg.py:81(__init__)
      765    0.015    0.000    0.173    0.000 lines.py:721(draw)
20948/15104    0.015    0.000    0.030    0.000 artist.py:225(stale)
22000/21998    0.015    0.000    0.067    0.000 __init__.py:870(__getitem__)
4920/2821    0.014    0.000    0.045    0.000 transforms.py:2457(get_affine)
      434    0.013    0.000    0.179    0.000 _base.py:2436(handle_single_axis)
    58032    0.013    0.000    0.018    0.000 {built-in method builtins.isinstance}
     1321    0.010    0.000    0.014    0.000 transforms.py:2861(nonsingular)
      651    0.010    0.000    0.048    0.000 transforms.py:739(intersection)
    24975    0.010    0.000    0.012    0.000 {built-in method builtins.getattr}
     3145    0.010    0.000    0.029    0.000 transforms.py:757(__init__)
   108329    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
      871    0.009    0.000    0.024    0.000 numeric.py:2350(within_tol)
      391    0.009    0.000    0.071    0.000 lines.py:277(__init__)
    12857    0.009    0.000    0.009    0.000 transforms.py:83(__init__)
      123    0.009    0.000    0.009    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      746    0.009    0.000    0.071    0.000 text.py:280(_get_layout)
78511/77723    0.008    0.000    0.008    0.000 {built-in method builtins.len}
4969/2394    0.008    0.000    0.009    0.000 transforms.py:134(_invalidate_internal)
      389    0.008    0.000    0.036    0.000 lines.py:637(recache)
  423/189    0.008    0.000    0.019    0.000 sre_parse.py:475(_parse)
     3280    0.007    0.000    0.037    0.000 transforms.py:1056(get_points)
     1449    0.007    0.000    0.007    0.000 {built-in method posix.stat}
     8179    0.007    0.000    0.013    0.000 transforms.py:1725(__init__)
 1742/877    0.007    0.000    0.014    0.000 units.py:140(get_converter)
     4817    0.007    0.000    0.007    0.000 {method 'copy' of 'numpy.ndarray' objects}
     7362    0.007    0.000    0.038    0.000 fromnumeric.py:2337(amin)
        1    0.006    0.006    0.006    0.006 {method 'dot' of 'numpy.ndarray' objects}
     7370    0.006    0.000    0.033    0.000 fromnumeric.py:2227(amax)
     6557    0.006    0.000    0.016    0.000 transforms.py:1870(__init__)
    26543    0.006    0.000    0.006    0.000 artist.py:962(sticky_edges)
     1072    0.006    0.000    0.015    0.000 path.py:193(_update_values)
      217    0.005    0.000    0.011    0.000 _base.py:2426(<listcomp>)
      639    0.005    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
     2164    0.005    0.000    0.061    0.000 transforms.py:1407(transform)
      582    0.005    0.000    0.008    0.000 artist.py:82(__init__)
    30230    0.005    0.000    0.005    0.000 {method 'rstrip' of 'str' objects}
     1817    0.005    0.000    0.007    0.000 font_manager.py:621(__hash__)
     4417    0.005    0.000    0.043    0.000 re.py:271(_compile)
      286    0.005    0.000    0.005    0.000 {method 'read' of '_io.FileIO' objects}
      856    0.005    0.000    0.005    0.000 {built-in method matplotlib._path.update_path_extents}
    24381    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
      871    0.005    0.000    0.047    0.000 numeric.py:2274(isclose)
    17167    0.004    0.000    0.004    0.000 transforms.py:977(get_points)
      623    0.004    0.000    0.009    0.000 transforms.py:697(translated)
      434    0.004    0.000    0.007    0.000 _base.py:2445(<listcomp>)
      135    0.004    0.000    0.104    0.001 text.py:694(draw)
      856    0.004    0.000    0.012    0.000 transforms.py:855(update_from_path)
      615    0.004    0.000    0.012    0.000 inspect.py:2115(_signature_from_function)
     1812    0.004    0.000    0.010    0.000 numeric.py:2491(seterr)
    12058    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
      217    0.004    0.000    0.006    0.000 __init__.py:1646(normalize_kwargs)
      643    0.004    0.000    0.092    0.000 text.py:892(get_window_extent)
    22308    0.004    0.000    0.004    0.000 {function RcParams.__getitem__ at 0x7fcc6dd266a8}
     3180    0.004    0.000    0.022    0.000 transforms.py:336(xmin)
      400    0.004    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
      883    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
     3297    0.004    0.000    0.021    0.000 colors.py:150(to_rgba)
  753/181    0.004    0.000    0.009    0.000 sre_compile.py:71(_compile)
   1056/3    0.004    0.000    0.397    0.132 artist.py:42(draw_wrapper)
      906    0.004    0.000    0.011    0.000 backend_bases.py:733(__init__)
      286    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:914(get_data)
    10758    0.004    0.000    0.006    0.000 mathtext.py:2739(<genexpr>)
      742    0.004    0.000    0.018    0.000 artist.py:885(update)
    24603    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
     1812    0.004    0.000    0.004    0.000 numeric.py:2592(geterr)
     3180    0.003    0.000    0.017    0.000 transforms.py:350(xmax)
     1925    0.003    0.000    0.004    0.000 transforms.py:161(set_children)
      576    0.003    0.000    0.017    0.000 inspect.py:1087(getfullargspec)
     3180    0.003    0.000    0.017    0.000 transforms.py:343(ymin)
     3188    0.003    0.000    0.017    0.000 transforms.py:357(ymax)
     3758    0.003    0.000    0.003    0.000 {built-in method builtins.max}
    21177    0.003    0.000    0.003    0.000 artist.py:728(get_animated)
       27    0.003    0.000    0.017    0.001 __init__.py:978(_rc_params_in_file)
     2451    0.003    0.000    0.008    0.000 transforms.py:1826(transform_affine)
     7610    0.003    0.000    0.023    0.000 numeric.py:433(asarray)
      471    0.003    0.000    0.068    0.000 transforms.py:726(union)
     2619    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        2    0.003    0.002    0.141    0.071 _base.py:4328(get_tightbbox)
      651    0.003    0.000    0.053    0.000 lines.py:596(get_window_extent)
      217    0.003    0.000    0.203    0.001 _base.py:2401(autoscale_view)
     2490    0.003    0.000    0.003    0.000 {built-in method matplotlib._path.affine_transform}
     1655    0.003    0.000    0.011    0.000 {built-in method builtins.any}
      376    0.003    0.000    0.003    0.000 {built-in method zlib.crc32}
      363    0.003    0.000    0.006    0.000 transforms.py:1965(rotate)
     3130    0.003    0.000    0.003    0.000 {built-in method builtins.min}
     3788    0.003    0.000    0.012    0.000 colors.py:116(_is_nth_color)
     5455    0.003    0.000    0.004    0.000 {built-in method _abc._abc_instancecheck}
        2    0.003    0.001    0.013    0.007 font_manager.py:1198(_findfont_cached)
     4177    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
      217    0.003    0.000    0.003    0.000 _base.py:2427(<listcomp>)
      389    0.003    0.000    0.003    0.000 stride_tricks.py:179(_broadcast_shape)
     1072    0.003    0.000    0.020    0.000 path.py:96(__init__)
     2394    0.003    0.000    0.012    0.000 transforms.py:123(invalidate)
5207/4226    0.003    0.000    0.003    0.000 transforms.py:2417(_get_is_affine)
     5754    0.003    0.000    0.003    0.000 {built-in method builtins.abs}
     3457    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x55813af62320}
    12481    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     2671    0.003    0.000    0.014    0.000 artist.py:61(_stale_axes_callback)
      874    0.003    0.000    0.009    0.000 _base.py:3124(_validate_converted_limits)
      217    0.003    0.000    0.057    0.000 _base.py:339(_plot_args)
      286    0.003    0.000    0.075    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     3336    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     3709    0.003    0.000    0.010    0.000 re.py:170(match)
    316/1    0.002    0.000    2.191    2.191 {built-in method builtins.exec}
     1824    0.002    0.000    0.004    0.000 inspect.py:2465(__init__)
       12    0.002    0.000    0.020    0.002 artist.py:1179(_get_setters_and_targets)
      217    0.002    0.000    0.002    0.000 _base.py:2428(<listcomp>)
     2164    0.002    0.000    0.044    0.000 transforms.py:2433(transform_affine)
      943    0.002    0.000    0.005    0.000 transforms.py:2354(__init__)
      473    0.002    0.000    0.005    0.000 path.py:159(_fast_from_codes_and_verts)
      499    0.002    0.000    0.013    0.000 markers.py:294(set_marker)
     2247    0.002    0.000    0.007    0.000 __init__.py:1357(_to_unmasked_float_array)
     5329    0.002    0.000    0.012    0.000 numeric.py:504(asanyarray)
     3173    0.002    0.000    0.011    0.000 figure.py:55(_stale_figure_callback)
     3336    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     1492    0.002    0.000    0.005    0.000 __init__.py:1981(_setattr_cm)
      350    0.002    0.000    0.030    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      369    0.002    0.000    0.023    0.000 font_manager.py:1162(findfont)
     8172    0.002    0.000    0.002    0.000 transforms.py:1908(get_matrix)
      570    0.002    0.000    0.003    0.000 font_manager.py:1111(score_weight)
      219    0.002    0.000    0.022    0.000 _base.py:3142(set_xlim)
      570    0.002    0.000    0.002    0.000 font_manager.py:1093(score_stretch)
      675    0.002    0.000    0.107    0.000 artist.py:255(get_tightbbox)
     1838    0.002    0.000    0.002    0.000 {built-in method _codecs.utf_8_decode}
       39    0.002    0.000    0.003    0.000 {method 'sort' of 'list' objects}
       32    0.002    0.000    0.056    0.002 axis.py:1015(_update_ticks)
      746    0.002    0.000    0.009    0.000 text.py:863(get_prop_tup)
      509    0.002    0.000    0.002    0.000 {built-in method numpy.core.multiarray.concatenate}
     4787    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
      654    0.002    0.000    0.003    0.000 inspect.py:2748(__init__)
     1389    0.002    0.000    0.005    0.000 text.py:849(get_unitless_position)
     8915    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
     1416    0.002    0.000    0.003    0.000 markers.py:260(__bool__)
      218    0.002    0.000    0.019    0.000 _base.py:3532(set_ylim)
    12618    0.002    0.000    0.002    0.000 artist.py:197(axes)
      908    0.002    0.000    0.004    0.000 __init__.py:958(get_siblings)
     2839    0.002    0.000    0.002    0.000 artist.py:310(pchanged)
     2381    0.002    0.000    0.005    0.000 transforms.py:2437(transform_non_affine)
  911/342    0.002    0.000    0.003    0.000 sre_parse.py:174(getwidth)
      376    0.002    0.000    0.004    0.000 colors.py:184(_to_rgba_no_colorcycle)
        1    0.002    0.002    0.388    0.388 _axes.py:3618(bxp)
     1801    0.002    0.000    0.016    0.000 __init__.py:829(__setitem__)
     2194    0.002    0.000    0.016    0.000 fromnumeric.py:2016(all)
     1702    0.002    0.000    0.014    0.000 fromnumeric.py:1933(any)
      572    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      240    0.002    0.000    0.023    0.000 patches.py:679(_update_patch_transform)
      899    0.002    0.000    0.002    0.000 contextlib.py:81(__init__)
      391    0.002    0.000    0.005    0.000 shape_base.py:555(column_stack)
     4719    0.002    0.000    0.003    0.000 sre_parse.py:164(__getitem__)
      874    0.002    0.000    0.005    0.000 {method 'all' of 'numpy.generic' objects}
      868    0.002    0.000    0.025    0.000 transforms.py:1500(transform_point)
      231    0.002    0.000    0.035    0.000 artist.py:663(set_clip_path)
      217    0.002    0.000    0.351    0.002 _axes.py:1376(plot)
      363    0.002    0.000    0.008    0.000 transforms.py:1981(rotate_deg)
      570    0.002    0.000    0.005    0.000 font_manager.py:1032(score_family)
     1314    0.002    0.000    0.005    0.000 __init__.py:1624(safe_first_element)
     3694    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
     1321    0.002    0.000    0.002    0.000 getlimits.py:376(__new__)
    360/4    0.002    0.000    0.404    0.101 <frozen importlib._bootstrap>:978(_find_and_load)
     5455    0.002    0.000    0.006    0.000 abc.py:137(__instancecheck__)
      567    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    12154    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
      765    0.002    0.000    0.008    0.000 transforms.py:2776(_revalidate)
      615    0.002    0.000    0.014    0.000 inspect.py:2196(_signature_from_callable)
       18    0.002    0.000    0.004    0.000 enum.py:134(__new__)
     2805    0.002    0.000    0.007    0.000 artist.py:179(convert_xunits)
      217    0.002    0.000    0.082    0.000 _base.py:1884(add_line)
      203    0.002    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
     2031    0.002    0.000    0.002    0.000 transforms.py:395(width)
     3177    0.002    0.000    0.006    0.000 pyplot.py:558(_auto_draw_if_interactive)
      123    0.002    0.000    0.077    0.001 backend_agg.py:167(draw_text)
  452/451    0.002    0.000    0.006    0.000 transforms.py:1741(__eq__)
      389    0.002    0.000    0.006    0.000 stride_tricks.py:198(broadcast_arrays)
     2224    0.002    0.000    0.003    0.000 __init__.py:329(iterable)
     2242    0.002    0.000    0.002    0.000 artist.py:338(get_transform)
      338    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     2375    0.002    0.000    0.012    0.000 {method 'all' of 'numpy.ndarray' objects}
      440    0.002    0.000    0.004    0.000 __init__.py:162(connect)
      345    0.002    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
       28    0.002    0.000    0.004    0.000 __init__.py:316(namedtuple)
3539/2091    0.002    0.000    0.007    0.000 {built-in method builtins.hash}
2772/2769    0.002    0.000    0.004    0.000 transforms.py:2639(get_matrix)
4530/4526    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
 1665/824    0.002    0.000    0.207    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     1336    0.002    0.000    0.002    0.000 transforms.py:378(intervalx)
    339/5    0.002    0.000    0.403    0.081 <frozen importlib._bootstrap>:663(_load_unlocked)
      640    0.002    0.000    0.002    0.000 transforms.py:2915(interval_contains)
     3249    0.002    0.000    0.013    0.000 _methods.py:45(_all)
      651    0.001    0.000    0.022    0.000 transforms.py:891(update_from_data_xy)
      653    0.001    0.000    0.002    0.000 _base.py:3101(get_xlim)
      434    0.001    0.000    0.001    0.000 {built-in method builtins.sum}
    218/1    0.001    0.000    0.400    0.400 __init__.py:1732(inner)
     1041    0.001    0.000    0.006    0.000 transforms.py:1798(frozen)
      998    0.001    0.000    0.008    0.000 markers.py:247(_recache)
     2689    0.001    0.000    0.008    0.000 {built-in method builtins.next}
     2755    0.001    0.000    0.006    0.000 artist.py:188(convert_yunits)
        1    0.001    0.001    0.012    0.012 __init__.py:1065(boxplot_stats)
       26    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
     1813    0.001    0.000    0.001    0.000 {built-in method numpy.core.umath.seterrobj}
     6416    0.001    0.000    0.001    0.000 path.py:203(vertices)
     3179    0.001    0.000    0.004    0.000 __init__.py:1424(is_interactive)
     3887    0.001    0.000    0.003    0.000 sre_parse.py:254(get)
      217    0.001    0.000    0.037    0.000 _base.py:1913(_update_line_limits)
     1379    0.001    0.000    0.002    0.000 transforms.py:386(intervaly)
      885    0.001    0.000    0.007    0.000 transforms.py:2536(composite_transform_factory)
      899    0.001    0.000    0.003    0.000 contextlib.py:116(__exit__)
      931    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.result_type}
      652    0.001    0.000    0.002    0.000 _base.py:3509(get_ylim)
      782    0.001    0.000    0.002    0.000 lines.py:1019(_split_drawstyle_linestyle)
     1838    0.001    0.000    0.003    0.000 codecs.py:319(decode)
     1362    0.001    0.000    0.005    0.000 units.py:117(is_numlike)
      423    0.001    0.000    0.029    0.000 transforms.py:2027(scale)
    357/4    0.001    0.000    0.403    0.101 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     2214    0.001    0.000    0.006    0.000 enum.py:283(__call__)
       39    0.001    0.000    0.006    0.000 __init__.py:1638(param)
      567    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
     3501    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
    17384    0.001    0.000    0.001    0.000 plot_gtex_binary.py:153(<lambda>)
      701    0.001    0.000    0.004    0.000 artist.py:889(_update_property)
     2214    0.001    0.000    0.002    0.000 font_manager.py:1191(<genexpr>)
      122    0.001    0.000    0.002    0.000 cycler.py:349(by_key)
        2    0.001    0.001    0.003    0.002 decoder.py:343(raw_decode)
      391    0.001    0.000    0.003    0.000 lines.py:1044(set_linestyle)
      217    0.001    0.000    0.044    0.000 _base.py:284(_makeline)
      576    0.001    0.000    0.056    0.000 backend_agg.py:120(draw_path)
     2435    0.001    0.000    0.009    0.000 transforms.py:1746(transform)
      567    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      195    0.001    0.000    0.004    0.000 font_manager.py:575(__init__)
       64    0.001    0.000    0.007    0.000 colors.py:713(from_list)
      608    0.001    0.000    0.005    0.000 lines.py:607(axes)
      223    0.001    0.000    0.002    0.000 _base.py:4251(get_children)
      430    0.001    0.000    0.003    0.000 copy.py:66(copy)
      570    0.001    0.000    0.002    0.000 font_manager.py:1055(<listcomp>)
      434    0.001    0.000    0.003    0.000 _base.py:2449(<listcomp>)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
       58    0.001    0.000    0.056    0.001 axis.py:72(__init__)
     3590    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     3553    0.001    0.000    0.003    0.000 {built-in method builtins.setattr}
  374/181    0.001    0.000    0.020    0.000 sre_parse.py:417(_parse_sub)
