         1377223 function calls (1354474 primitive calls) in 17.947 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    45904   15.794    0.000   15.799    0.000 plot_gtex.py:9(linear_search)
        2    0.331    0.166    0.331    0.166 {built-in method matplotlib._png.write_png}
    26477    0.136    0.000    0.136    0.000 {method 'split' of 'str' objects}
        1    0.086    0.086   17.524   17.524 plot_gtex.py:35(main)
    21627    0.064    0.000    0.064    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    47/46    0.058    0.001    0.059    0.001 {built-in method _imp.create_dynamic}
      286    0.056    0.000    0.056    0.000 {built-in method marshal.loads}
    22697    0.050    0.000    0.050    0.000 {built-in method numpy.core.multiarray.array}
      123    0.045    0.000    0.046    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     6216    0.038    0.000    0.038    0.000 {built-in method numpy.core.multiarray.dot}
      198    0.033    0.000    0.039    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      369    0.033    0.000    0.033    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    18628    0.029    0.000    0.088    0.000 fromnumeric.py:64(_wrapreduction)
        1    0.028    0.028   17.947   17.947 plot_gtex.py:1(<module>)
      576    0.022    0.000    0.056    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
1168/1100    0.019    0.000    0.056    0.000 {built-in method builtins.__build_class__}
        3    0.016    0.005    0.017    0.006 backend_agg.py:81(__init__)
20948/15104    0.016    0.000    0.032    0.000 artist.py:225(stale)
      334    0.015    0.000    0.015    0.000 {method 'decompress' of 'zlib.Decompress' objects}
22000/21998    0.015    0.000    0.067    0.000 __init__.py:870(__getitem__)
      765    0.015    0.000    0.178    0.000 lines.py:721(draw)
4920/2821    0.015    0.000    0.045    0.000 transforms.py:2457(get_affine)
    58032    0.014    0.000    0.020    0.000 {built-in method builtins.isinstance}
      434    0.014    0.000    0.185    0.000 _base.py:2436(handle_single_axis)
      651    0.011    0.000    0.054    0.000 transforms.py:739(intersection)
   108329    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
     3145    0.011    0.000    0.032    0.000 transforms.py:757(__init__)
     1321    0.011    0.000    0.015    0.000 transforms.py:2861(nonsingular)
    24975    0.010    0.000    0.012    0.000 {built-in method builtins.getattr}
      391    0.010    0.000    0.075    0.000 lines.py:277(__init__)
4969/2394    0.010    0.000    0.011    0.000 transforms.py:134(_invalidate_internal)
      871    0.009    0.000    0.024    0.000 numeric.py:2350(within_tol)
78511/77723    0.009    0.000    0.010    0.000 {built-in method builtins.len}
      123    0.009    0.000    0.009    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      746    0.009    0.000    0.071    0.000 text.py:280(_get_layout)
    12857    0.009    0.000    0.009    0.000 transforms.py:83(__init__)
      434    0.009    0.000    0.009    0.000 _base.py:261(<genexpr>)
      389    0.008    0.000    0.038    0.000 lines.py:637(recache)
     3280    0.008    0.000    0.037    0.000 transforms.py:1056(get_points)
